,,,,,,MSE,MAE
128,relu,3,adam,10,64,0.203492,0.30959
512,relu,2,adam,10,64,0.204488,0.308437
256,relu,5,adam,10,8,0.204824,0.306975
512,relu,5,adam,10,32,0.205468,0.317355
256,relu,2,adam,10,32,0.206546,0.311331
128,relu,4,adam,10,16,0.206783,0.306865
256,relu,5,adam,10,16,0.2072,0.312006
512,relu,2,adam,10,32,0.207466,0.306897
128,relu,3,adam,10,16,0.207523,0.308899
512,relu,2,adam,10,16,0.20764,0.308138
256,relu,3,adam,10,256,0.207801,0.315225
256,relu,5,adam,10,64,0.207819,0.31816
128,relu,2,adam,10,8,0.208366,0.305084
256,relu,3,adam,10,8,0.208955,0.313305
256,relu,5,adam,10,256,0.209012,0.322161
128,relu,2,adam,10,16,0.209042,0.310396
64,relu,5,adam,10,64,0.209051,0.318896
512,relu,3,adam,10,256,0.209158,0.320715
512,relu,3,adam,10,64,0.209336,0.309705
64,relu,4,adam,10,16,0.209875,0.316931
512,relu,4,adam,10,64,0.210059,0.324888
128,relu,2,adam,10,32,0.210125,0.307196
512,relu,5,adam,10,8,0.21028,0.315247
128,relu,5,adam,10,128,0.210652,0.31016
512,relu,5,adam,10,256,0.211248,0.317664
64,relu,3,adam,10,16,0.21132,0.320985
256,relu,5,adam,10,32,0.211578,0.313068
64,relu,3,adam,10,64,0.212145,0.31642
64,relu,4,adam,10,8,0.212145,0.327391
64,relu,2,adam,10,16,0.212253,0.312662
128,relu,3,adam,10,128,0.212474,0.321558
512,relu,3,adam,10,8,0.212763,0.316141
256,relu,3,adam,10,16,0.213413,0.322922
512,relu,4,adam,10,256,0.213656,0.320748
128,relu,4,adam,10,32,0.213773,0.31956
128,relu,4,adam,10,128,0.213828,0.326555
256,relu,4,adam,10,128,0.214371,0.324241
128,relu,4,adam,10,64,0.214953,0.323949
64,relu,5,adam,10,16,0.215081,0.319046
512,relu,5,adam,10,16,0.215092,0.333958
64,relu,5,adam,10,32,0.21513,0.324387
64,tanh,2,adam,10,8,0.215241,0.317689
64,relu,4,adam,10,32,0.215377,0.321995
512,relu,5,adam,10,64,0.215524,0.326526
256,relu,4,adam,10,32,0.21559,0.320607
64,relu,5,adam,10,128,0.215715,0.322011
256,relu,2,adam,10,256,0.21609,0.32517
128,relu,2,adam,10,128,0.216145,0.326357
512,relu,3,adam,10,16,0.216349,0.313481
256,relu,3,adam,10,32,0.216532,0.309685
512,relu,4,adam,10,8,0.216645,0.30532
128,relu,5,adam,10,32,0.216928,0.316637
128,relu,5,adam,10,256,0.217441,0.32655
512,relu,3,adam,10,32,0.217768,0.330387
128,relu,2,adam,10,64,0.217805,0.311788
256,relu,2,adam,10,16,0.21829,0.319995
512,relu,4,adam,10,16,0.218291,0.322156
128,tanh,3,adam,10,32,0.218373,0.317835
256,relu,4,adam,10,256,0.218668,0.319749
512,relu,3,adam,10,128,0.218821,0.321909
512,relu,5,adam,10,128,0.218851,0.331722
256,relu,5,adam,10,128,0.218923,0.318841
128,relu,2,adam,10,256,0.21918,0.326501
128,relu,5,adam,10,64,0.219234,0.328439
64,relu,4,adam,10,128,0.219476,0.319936
512,relu,4,adam,10,32,0.219542,0.3255
64,relu,2,adam,10,128,0.219787,0.322156
64,relu,3,adam,10,32,0.220123,0.319673
256,relu,3,adam,10,128,0.220572,0.316795
512,relu,2,adam,10,128,0.220727,0.334703
64,tanh,3,adam,10,64,0.221118,0.325245
64,tanh,5,adam,10,32,0.221314,0.31752
128,relu,5,adam,10,16,0.221376,0.320123
64,relu,2,adam,10,32,0.221621,0.321429
256,relu,4,adam,10,16,0.222006,0.310008
256,relu,2,adam,10,64,0.222013,0.333738
256,tanh,2,adam,10,64,0.222765,0.319905
128,tanh,2,adam,10,64,0.223519,0.319779
128,relu,3,adam,10,256,0.223571,0.328741
128,relu,3,adam,10,8,0.223651,0.335616
64,tanh,5,adam,10,64,0.223995,0.318587
64,relu,2,adam,10,8,0.224044,0.316482
128,tanh,2,adam,10,32,0.224524,0.32177
512,relu,2,adam,10,8,0.22466,0.326564
128,relu,5,adam,10,8,0.224689,0.319643
256,relu,2,adam,10,8,0.22492,0.330053
64,tanh,4,adam,10,32,0.224969,0.327489
64,tanh,4,adam,10,64,0.225109,0.322122
128,relu,3,adam,10,32,0.225145,0.326913
64,tanh,3,adam,10,8,0.225148,0.318866
64,relu,3,adam,10,256,0.225559,0.324945
512,relu,2,adam,10,256,0.225631,0.326718
64,relu,4,adam,10,64,0.226254,0.313717
256,relu,2,adam,10,128,0.226403,0.331925
64,relu,4,adam,10,256,0.226489,0.338178
64,tanh,3,adam,10,16,0.226702,0.332043
64,relu,3,adam,10,8,0.22722,0.33222
256,relu,4,adam,10,8,0.227595,0.328941
128,tanh,4,adam,10,64,0.227629,0.336927
64,relu,3,adam,10,128,0.227734,0.320977
256,relu,4,adam,10,64,0.228188,0.339168
64,relu,2,adam,10,64,0.228725,0.346533
128,tanh,3,adam,10,64,0.228984,0.341201
64,relu,2,adam,10,256,0.22963,0.330435
128,tanh,4,adam,10,16,0.231095,0.335379
128,relu,4,adam,10,256,0.231709,0.322284
64,tanh,2,adam,10,32,0.232614,0.325855
128,tanh,4,adam,10,256,0.233418,0.332583
64,tanh,4,adam,10,16,0.233445,0.340998
256,relu,3,adam,10,64,0.233748,0.323179
256,tanh,3,adam,10,32,0.234029,0.32941
128,relu,4,adam,10,8,0.234412,0.319751
64,tanh,5,adam,10,128,0.234465,0.330605
128,tanh,4,adam,10,128,0.234796,0.331781
64,tanh,3,adam,10,128,0.235043,0.342608
256,tanh,2,adam,10,32,0.235537,0.345777
64,tanh,3,adam,10,32,0.235575,0.329446
64,tanh,5,adam,10,16,0.235766,0.34191
128,tanh,3,adam,10,16,0.236081,0.336716
256,tanh,2,adam,10,16,0.236437,0.352759
128,tanh,3,adam,10,8,0.23689,0.334883
128,tanh,2,adam,10,16,0.237666,0.342861
64,relu,5,adam,10,8,0.237961,0.338494
64,tanh,2,adam,10,16,0.238018,0.341173
128,tanh,5,adam,10,32,0.238161,0.339108
128,tanh,3,adam,10,256,0.238227,0.330724
64,tanh,4,adam,10,128,0.238279,0.326479
256,tanh,3,adam,10,256,0.238934,0.339356
512,tanh,3,adam,10,64,0.239263,0.332768
128,tanh,4,adam,10,32,0.239318,0.343657
64,tanh,5,adam,10,8,0.239673,0.329573
512,relu,4,adam,10,128,0.240048,0.330429
128,tanh,4,adam,10,8,0.240521,0.359553
512,tanh,3,adam,10,256,0.240569,0.344233
256,tanh,3,adam,10,16,0.240922,0.345308
128,tanh,5,adam,10,256,0.241074,0.348754
256,tanh,2,adam,10,8,0.241161,0.332925
512,tanh,2,adam,10,256,0.24265,0.338714
256,tanh,4,adam,10,128,0.24275,0.352775
64,tanh,5,adam,10,256,0.243001,0.338845
64,tanh,4,adam,10,8,0.243508,0.355629
256,tanh,3,adam,10,8,0.244419,0.347092
128,tanh,2,adam,10,128,0.244833,0.356113
512,tanh,3,adam,10,32,0.24503,0.352272
128,tanh,5,adam,10,64,0.246192,0.337979
256,tanh,4,adam,10,8,0.246199,0.345001
128,tanh,3,adam,10,128,0.246746,0.35016
256,tanh,3,adam,10,128,0.247425,0.341759
512,tanh,3,adam,10,8,0.24744,0.345029
64,tanh,3,adam,10,256,0.247696,0.353213
64,tanh,2,adam,10,64,0.248103,0.338166
256,tanh,4,adam,10,64,0.248201,0.343142
64,relu,5,adam,10,256,0.248842,0.360523
512,tanh,2,adam,10,16,0.249523,0.359523
512,tanh,2,adam,10,64,0.249699,0.33647
128,tanh,5,adam,10,8,0.250075,0.347792
256,tanh,5,adam,10,256,0.250764,0.340192
256,tanh,4,adam,10,32,0.250844,0.354546
512,tanh,2,adam,10,32,0.251282,0.347249
64,tanh,2,adam,10,128,0.251979,0.346708
512,tanh,5,adam,10,256,0.252574,0.367451
512,tanh,2,adam,10,128,0.252707,0.335468
256,tanh,3,adam,10,64,0.253037,0.358586
128,tanh,5,adam,10,128,0.25335,0.346402
256,tanh,5,adam,10,8,0.253979,0.347408
128,tanh,2,adam,10,8,0.255132,0.347482
256,tanh,5,adam,10,32,0.255788,0.36383
64,tanh,4,adam,10,256,0.256057,0.355652
128,tanh,5,adam,10,16,0.256327,0.341721
256,tanh,2,adam,10,256,0.257078,0.348434
128,tanh,2,adam,10,256,0.260176,0.366086
512,tanh,3,adam,10,16,0.260181,0.351524
512,tanh,5,adam,10,64,0.260966,0.357417
512,tanh,4,adam,10,256,0.261508,0.356
256,tanh,5,adam,10,64,0.262953,0.355329
512,tanh,3,adam,10,128,0.26393,0.350336
512,tanh,5,adam,10,32,0.264102,0.377943
512,tanh,4,adam,10,32,0.26419,0.363237
512,tanh,2,adam,10,8,0.26916,0.371122
512,tanh,4,adam,10,128,0.271018,0.368783
512,tanh,5,adam,10,128,0.271158,0.383269
256,tanh,4,adam,10,256,0.27193,0.353073
512,tanh,4,adam,10,64,0.272449,0.370399
64,tanh,2,adam,10,256,0.273365,0.365192
512,tanh,4,adam,10,16,0.276091,0.358734
256,tanh,2,adam,10,128,0.276093,0.384288
256,tanh,4,adam,10,16,0.285021,0.369102
256,tanh,5,adam,10,16,0.289563,0.393264
512,tanh,5,adam,10,16,0.292322,0.408722
512,tanh,4,adam,10,8,0.312941,0.399384
256,tanh,5,adam,10,128,0.335417,0.427542
512,tanh,5,adam,10,8,0.438602,0.483205
