Best: -0.2153350661198298 using {'activation': 'relu', 'layers': 2, 'units': 256}
-0.2257076303164164 (0.005610383694475058) with: {'activation': 'relu', 'layers': 2, 'units': 64}
-0.2153350661198298 (0.004047098886464389) with: {'activation': 'relu', 'layers': 2, 'units': 256}
-0.22635363539059958 (0.0055235757636850225) with: {'activation': 'relu', 'layers': 2, 'units': 512}
-0.22348946332931519 (0.0037692652185719083) with: {'activation': 'relu', 'layers': 3, 'units': 64}
-0.2185470163822174 (0.0032141666190944065) with: {'activation': 'relu', 'layers': 3, 'units': 256}
-0.2255500704050064 (0.004781145412296005) with: {'activation': 'relu', 'layers': 3, 'units': 512}
-0.22560536364714304 (0.004630681555513752) with: {'activation': 'relu', 'layers': 4, 'units': 64}
-0.2181053509314855 (0.006840586448255651) with: {'activation': 'relu', 'layers': 4, 'units': 256}
-0.22066317995389303 (0.007933670407982561) with: {'activation': 'relu', 'layers': 4, 'units': 512}
-0.22016904254754385 (0.005787989325121524) with: {'activation': 'relu', 'layers': 5, 'units': 64}
-0.22959243754545847 (0.006135902432048814) with: {'activation': 'relu', 'layers': 5, 'units': 256}
-0.2309460292259852 (0.010976929578112618) with: {'activation': 'relu', 'layers': 5, 'units': 512}
-0.2346449395020803 (0.003443314702353727) with: {'activation': 'tanh', 'layers': 2, 'units': 64}
-0.24718778332074484 (0.008642968678711664) with: {'activation': 'tanh', 'layers': 2, 'units': 256}
-0.2522334059079488 (0.004968353003027476) with: {'activation': 'tanh', 'layers': 2, 'units': 512}
-0.23588661352793375 (0.004143316236182298) with: {'activation': 'tanh', 'layers': 3, 'units': 64}
-0.24954255918661752 (0.00655520023442987) with: {'activation': 'tanh', 'layers': 3, 'units': 256}
-0.2743479708830516 (0.006677011607917516) with: {'activation': 'tanh', 'layers': 3, 'units': 512}
-0.2364360491434733 (0.008766370998344802) with: {'activation': 'tanh', 'layers': 4, 'units': 64}
-0.25851162274678546 (0.00943073712371849) with: {'activation': 'tanh', 'layers': 4, 'units': 256}
-0.2725006739298503 (0.015316740284002808) with: {'activation': 'tanh', 'layers': 4, 'units': 512}
-0.24615691602230072 (0.008237982697105703) with: {'activation': 'tanh', 'layers': 5, 'units': 64}
-0.2801317671934764 (0.016125180700005026) with: {'activation': 'tanh', 'layers': 5, 'units': 256}
-0.28620901703834534 (0.01854733789273122) with: {'activation': 'tanh', 'layers': 5, 'units': 512}
