,,,,MSE,MAE
300,None,2,2,0.192447,0.804463
300,30,2,2,0.192721,0.804184
100,None,2,2,0.193086,0.803814
100,50,2,2,0.193178,0.80372
300,30,5,2,0.19325,0.803647
300,40,2,2,0.193306,0.803591
200,50,2,2,0.193644,0.803246
300,50,5,1,0.193743,0.803146
300,None,5,2,0.193814,0.803074
300,50,5,2,0.193816,0.803072
200,40,5,2,0.193863,0.803024
300,30,2,1,0.193966,0.80292
200,20,2,2,0.193975,0.802911
200,30,2,2,0.194131,0.802752
300,40,2,1,0.194259,0.802622
300,None,5,1,0.194355,0.802524
200,40,2,2,0.194382,0.802497
200,20,5,2,0.19453,0.802346
200,50,2,1,0.194715,0.802159
200,20,2,1,0.194726,0.802147
200,None,5,2,0.194744,0.802129
300,20,2,2,0.194747,0.802126
300,20,5,1,0.194747,0.802126
100,30,2,2,0.194748,0.802125
200,30,5,2,0.194773,0.8021
300,20,2,1,0.194895,0.801976
100,50,5,2,0.194898,0.801972
200,None,2,2,0.195124,0.801743
200,50,5,2,0.195147,0.801719
300,40,5,1,0.195176,0.80169
300,50,2,2,0.195196,0.80167
300,20,5,2,0.1952,0.801665
100,20,2,2,0.195248,0.801617
300,50,2,1,0.195381,0.801482
200,40,2,1,0.195425,0.801437
300,30,5,1,0.19546,0.801401
100,30,5,2,0.19551,0.80135
100,50,10,2,0.195597,0.801263
200,40,5,1,0.195628,0.801231
300,40,5,2,0.195628,0.801231
50,None,5,2,0.195725,0.801132
50,20,5,2,0.195771,0.801086
200,None,5,1,0.195816,0.80104
300,40,5,4,0.195822,0.801034
200,20,5,1,0.195869,0.800986
300,40,10,2,0.195871,0.800984
100,30,5,1,0.195872,0.800982
100,None,2,1,0.19594,0.800914
100,20,5,2,0.195946,0.800908
50,None,2,2,0.196116,0.800735
200,None,2,1,0.196151,0.8007
200,30,2,1,0.196161,0.800689
100,None,5,1,0.196174,0.800676
100,40,2,4,0.19622,0.80063
300,None,2,1,0.196268,0.80058
100,40,2,2,0.196317,0.800531
300,20,10,2,0.196337,0.80051
100,40,5,2,0.196349,0.800498
200,50,5,4,0.196364,0.800483
300,20,2,4,0.196376,0.800471
200,50,5,1,0.196461,0.800384
200,50,10,2,0.196486,0.800359
100,50,5,1,0.196543,0.800301
300,30,2,4,0.196558,0.800286
200,30,5,1,0.196579,0.800264
200,50,2,4,0.196583,0.800261
100,None,5,2,0.196658,0.800185
300,50,5,4,0.196715,0.800126
100,20,5,4,0.196756,0.800085
100,20,2,1,0.196775,0.800066
50,50,2,2,0.196776,0.800064
200,20,5,4,0.196809,0.800031
300,50,10,4,0.196822,0.800018
100,40,2,1,0.196843,0.799997
100,30,2,1,0.196897,0.799942
200,20,2,4,0.196907,0.799932
300,20,5,4,0.196949,0.799888
50,40,2,1,0.197008,0.799828
300,None,2,4,0.197055,0.799781
200,20,10,2,0.197216,0.799618
50,30,2,2,0.197276,0.799557
50,None,5,4,0.197356,0.799476
100,20,10,2,0.197373,0.799458
300,None,10,2,0.197409,0.799421
200,40,2,4,0.19749,0.799339
200,40,10,2,0.197504,0.799325
300,None,5,4,0.197562,0.799266
